class	label	URI	parent_class	parent_label	parent_URI	example_of_usage	editor_note	editor_note	rdfs:comment	definition
OBI_138	in-vivo_state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_137		http://obi.sourceforge.net/ontology/OBI.owl					An in-vivo state is a state in which the entity remains part of the living organism. definition_source: OBI.
OBI_259	ex-vivo_state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_137		http://obi.sourceforge.net/ontology/OBI.owl		rem0: (AL) One of in-vitro state/ex-vivo state should be deleted, and made a synonym of the remaining term.			An ex-vivo state is a state in which the entity is in an artificial environment outside the living organism. definition_source: http://wordnet.princeton.edu/perl/webwn?s=in%20vitro, Jan 3, 2007.
OBI_354	disease_course	http://obi.sourceforge.net/ontology/OBI.owl	Process		http://www.ifomis.org/bfo/1.1/span					is a process through which a disease manifests itself
OBI_139	frozen_state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_302		http://obi.sourceforge.net/ontology/OBI.owl					A frozen state is a state in which the entity is kept below its freezing point. definition_source: OBI.
OBI_190	solid_state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_302		http://obi.sourceforge.net/ontology/OBI.owl					A solid state is a state in which the entity has no tendency to flow under moderate stress; resists forces (such as compression) which tend to deform it; and retains a definite size and shape. definition_source: http://wordnet.princeton.edu/perl/webwn?s=solid%20state, Jan 3, 2007.
OBI_76	unplanned_process_part	http://obi.sourceforge.net/ontology/OBI.owl	FiatProcessPart		http://www.ifomis.org/bfo/1.1/span	Earthquake that destroys the lab, an outside investigator discovering an adverse effect of the reagants used				An extraneous process is a process which is external in origin to the investigation that has an impact on the outcome. definition_source: OBI.
OBI_130	in-vitro_state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_137		http://obi.sourceforge.net/ontology/OBI.owl					An in-vitro state is a state in which the entity is in an artificial environment outside the living organism. definition_source: http://wordnet.princeton.edu/perl/webwn?s=in%20vitro, Jan 3, 2007.
OBI_191	gaseous_state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_302		http://obi.sourceforge.net/ontology/OBI.owl					A gaseous state is a state in which the entity is distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container. definition_source: http://wordnet.princeton.edu/perl/webwn?s=gaseous%20state, Jan 3, 2007.
OBI_137	state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_334		http://obi.sourceforge.net/ontology/OBI.owl					a state is a quality indicating the condition in which an entity exists, e.g. immortalized, frozen, cellular_state (in-vivo, in-vitro), macromolecular state, 'ectopic in-vivo', 'denatured or native for protein'. definition_source: OBI.
OBI_33	sex_effect	http://obi.sourceforge.net/ontology/OBI.owl							A variable in an experiment that is designed to look at differences between organisms of different genders, mating types etc.	
OBI_155	disease	http://obi.sourceforge.net/ontology/OBI.owl	Disposition		http://www.ifomis.org/bfo/1.1/snap		rem1: BP - placed into quality. needs to be discussed	rem0: BS did not view disease as a process, and indeed it is now a child of dependent continuant.		Place_holder for disease ontology
OBI_282	GO_molecular_function	http://obi.sourceforge.net/ontology/OBI.owl	Function		http://www.ifomis.org/bfo/1.1/snap					
OBI_278	disease_stage	http://obi.sourceforge.net/ontology/OBI.owl	FiatProcessPart		http://www.ifomis.org/bfo/1.1/span	Stage II breast cancer, The timepoint of recovery from a disease				is a fiat_process_part which is part_of a disease_process which is associated with position in the normal progression of the disease
OBI_44	physical_document	http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl		BP: moved and renamed for BFO	information_content_entity "is_encoded_in" some physical_document in obi before split (040907).		A physical document is an object serving as a record of information by means of symbolic marks. definition_source: OBI.
OBI_189	liquid_state	http://obi.sourceforge.net/ontology/OBI.owl	OBI_302		http://obi.sourceforge.net/ontology/OBI.owl					A liquid state is a state in which the entity has no fixed shape but a fixed volume, generally at a temperature between its freezing and boiling points. definition_source: OBI.
OBI_334	to_be_fixed	http://obi.sourceforge.net/ontology/OBI.owl								
OBI_302	PATO_quality	http://obi.sourceforge.net/ontology/OBI.owl	Quality		http://www.ifomis.org/bfo/1.1/snap					
OBI_72	parameter_value_application	http://obi.sourceforge.net/ontology/OBI.owl	FiatProcessPart		http://www.ifomis.org/bfo/1.1/span	Setting the centrifuge to 1200 RPM.				A parameter value application is part of a protocol application in which the values of the parameter are set. definition_source: OBI.
